date,name,value,rank,lastValue
2020-01-09,Jimmy Ponder,0,49,0
2020-01-09,John Mayer,12,5,12
2020-01-09,KT Tunstall,0,50,0
2020-01-09,Kenshi Yonezu,0,51,0
2020-01-09,Khruangbin,0,52,0
2020-01-09,Kristen Bell,11,7,10
2020-01-09,Novos Baianos,11,6,11
2020-01-09,OKAMOTO'S,0,44,0
2020-01-09,Oscar Peterson,1,12,1
2020-01-09,Phoenix,5,9,5
2020-01-09,Pomplamoose,0,32,0
2020-01-09,Public Enemy,0,26,0
2020-01-09,Rage Against the Machine,22,2,22
2020-01-09,Red Hot Chili Peppers,1,13,1
2020-01-09,Rina Sawayama,0,18,0
2020-01-09,Romes,0,19,0
2020-01-09,Saint Motel,0,20,0
2020-01-09,Sakanaction,0,22,0
2020-01-09,Self,0,30,0
2020-01-09,Stella Jang,0,24,0
2020-01-09,Taichi Mukai,0,25,0
2020-01-09,Tame Impala,1,11,1
2020-01-09,The Dave Brubeck Quartet,0,27,0
2020-01-09,The Fearless Flyers,0,29,0
2020-01-09,The Knocks,6,8,6
2020-01-09,The Kooks,0,21,0
2020-01-09,The Shins,19,3,19
2020-01-09,The Strokes,0,23,0
2020-01-09,UNISON SQUARE GARDEN,0,28,0
2020-01-09,Vulfpeck,1,14,1
2020-01-09,Wednesday Campanella,0,15,0
2020-01-09,Yuki Hayashi,0,17,0
2020-01-09,フレデリック,0,16,0
2020-01-09,久石譲,0,54,0
2020-01-10,Anderson .Paak,0,31,0
2020-01-10,Antônio Carlos Jobim,0,53,0
2020-01-10,Arctic Monkeys,0,34,0
2020-01-10,Babu Santana,0,35,0
2020-01-10,Baco Exu do Blues,0,36,0
2020-01-10,Castlebeat,0,37,0
2020-01-10,Chico Buarque,0,38,0
2020-01-10,Chihiro Yamanaka,0,39,0
2020-01-10,Christian McBride,0,40,0
2020-01-10,Cory Wong,34,1,34
2020-01-10,Daft Punk,0,41,0
2020-01-10,Emicida,0,42,0
2020-01-10,Fitz and the Tantrums,0,33,0
2020-01-10,Foster the People,134,0,122
2020-01-10,Gen Hoshino,0,43,0
2020-01-10,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-10,Hermeto Pascoal,0,46,0
2020-01-10,Hiromi,26,2,2
2020-01-10,J Rabbit,0,47,0
2020-01-10,Jamiroquai,13,6,13
2020-01-10,Jimi Hendrix,0,48,0
2020-01-10,Jimmy Ponder,0,49,0
2020-01-10,John Mayer,12,7,12
2020-01-10,KT Tunstall,0,50,0
2020-01-10,Kenshi Yonezu,0,51,0
